SITE,DATE,TMAX
USC00311677,20180101,-33
USC00311677,20180102,-28
USC00311677,20180103,-6
USC00311677,20180104,0
USC00311677,20180106,-11
USC00311677,20180107,-33
USC00311677,20180108,-17
USC00311677,20180109,78
USC00311677,20180110,178
USC00311677,20180111,161
USC00311677,20180112,183
USC00311677,20180113,211
USC00311677,20180114,83
USC00311677,20180115,6
USC00311677,20180117,89
USC00311677,20180118,22
USC00311677,20180119,22
USC00311677,20180120,122
USC00311677,20180121,139
USC00311677,20180122,194
USC00311677,20180123,167
USC00311677,20180124,206
USC00311677,20180125,122
USC00311677,20180126,94
USC00311677,20180127,139
USC00311677,20180128,189
USC00311677,20180129,150
USC00311677,20180130,100
USC00311677,20180131,39
USC00311677,20180201,83
USC00311677,20180202,156
USC00311677,20180203,61
USC00311677,20180204,56
USC00311677,20180205,117
USC00311677,20180206,83
USC00311677,20180207,150
USC00311677,20180208,167
USC00311677,20180209,100
USC00311677,20180210,139
USC00311677,20180211,194
USC00311677,20180212,217
USC00311677,20180213,183
USC00311677,20180214,50
USC00311677,20180215,144
USC00311677,20180216,239
USC00311677,20180217,272
USC00311677,20180218,78
USC00311677,20180219,161
USC00311677,20180220,100
USC00311677,20180221,233
USC00311677,20180222,244
USC00311677,20180223,256
USC00311677,20180224,206
USC00311677,20180225,261
USC00311677,20180227,167
USC00311677,20180228,161
USC00311677,20180301,144
USC00311677,20180302,133
USC00311677,20180303,122
USC00311677,20180304,139
USC00311677,20180305,133
USC00311677,20180306,128
USC00311677,20180307,56
USC00311677,20180308,111
USC00311677,20180309,78
USC00311677,20180310,106
USC00311677,20180311,117
USC00311677,20180312,72
USC00311677,20180313,22
USC00311677,20180314,89
USC00311677,20180316,194
USC00311677,20180317,200
USC00311677,20180318,211
USC00311677,20180319,167
USC00311677,20180320,183
USC00311677,20180321,133
USC00311677,20180322,61
USC00311677,20180323,117
USC00311677,20180324,133
USC00311677,20180325,100
USC00311677,20180327,122
USC00311677,20180329,244
USC00311677,20180330,267
USC00311677,20180331,222
USC00311677,20180401,189
USC00311677,20180402,244
USC00311677,20180403,283
USC00311677,20180404,244
USC00311677,20180405,250
USC00311677,20180406,156
USC00311677,20180407,222
USC00311677,20180408,133
USC00311677,20180409,111
USC00311677,20180410,150
USC00311677,20180411,172
USC00311677,20180412,172
USC00311677,20180413,244
USC00311677,20180414,272
USC00311677,20180415,283
USC00311677,20180416,272
USC00311677,20180417,156
USC00311677,20180418,172
USC00311677,20180419,289
USC00311677,20180420,239
USC00311677,20180421,183
USC00311677,20180422,206
USC00311677,20180423,206
USC00311677,20180424,183
USC00311677,20180425,172
USC00311677,20180426,200
USC00311677,20180427,228
USC00311677,20180428,228
USC00311677,20180429,261
USC00311677,20180430,200
USC00311677,20180501,222
USC00311677,20180502,289
USC00311677,20180503,300
USC00311677,20180504,294
USC00311677,20180505,300
USC00311677,20180506,272
USC00311677,20180507,278
USC00311677,20180508,233
USC00311677,20180509,250
USC00311677,20180510,267
USC00311677,20180512,322
USC00311677,20180513,339
USC00311677,20180515,333
USC00311677,20180516,300
USC00311677,20180517,294
USC00311677,20180518,256
USC00311677,20180519,278
USC00311677,20180520,239
USC00311677,20180521,294
USC00311677,20180522,289
USC00311677,20180523,294
USC00311677,20180524,306
USC00311677,20180525,294
USC00311677,20180526,294
USC00311677,20180528,306
USC00311677,20180529,250
USC00311677,20180530,267
USC00311677,20180531,300
USC00311677,20180601,300
USC00311677,20180602,333
USC00311677,20180603,306
USC00311677,20180604,317
USC00311677,20180605,294
USC00311677,20180606,278
USC00311677,20180607,306
USC00311677,20180608,294
USC00311677,20180609,317
USC00311677,20180610,317
USC00311677,20180611,328
USC00311677,20180612,300
USC00311677,20180613,211
USC00311677,20180614,300
USC00311677,20180616,306
USC00311677,20180617,317
USC00311677,20180618,339
USC00311677,20180619,344
USC00311677,20180620,356
USC00311677,20180622,328
USC00311677,20180623,344
USC00311677,20180624,328
USC00311677,20180625,356
USC00311677,20180626,306
USC00311677,20180627,239
USC00311677,20180630,328
USC00311677,20180701,339
USC00311677,20180702,350
USC00311677,20180703,361
USC00311677,20180704,344
USC00311677,20180705,333
USC00311677,20180706,339
USC00311677,20180707,344
USC00311677,20180708,267
USC00311677,20180709,278
USC00311677,20180710,294
USC00311677,20180711,339
USC00311677,20180712,356
USC00311677,20180713,306
USC00311677,20180714,311
USC00311677,20180715,317
USC00311677,20180717,339
USC00311677,20180718,344
USC00311677,20180719,306
USC00311677,20180720,322
USC00311677,20180721,306
USC00311677,20180722,289
USC00311677,20180723,311
USC00311677,20180724,294
USC00311677,20180725,300
USC00311677,20180726,278
USC00311677,20180729,317
USC00311677,20180730,317
USC00311677,20180731,294
USC00311677,20180801,289
USC00311677,20180803,300
USC00311677,20180804,244
USC00311677,20180805,311
USC00311677,20180806,333
USC00311677,20180807,333
USC00311677,20180808,339
USC00311677,20180809,344
USC00311677,20180810,317
USC00311677,20180811,328
USC00311677,20180812,322
USC00311677,20180813,322
USC00311677,20180814,289
USC00311677,20180815,311
USC00311677,20180817,328
USC00311677,20180818,328
USC00311677,20180819,306
USC00311677,20180820,306
USC00311677,20180821,294
USC00311677,20180822,300
USC00311677,20180823,311
USC00311677,20180824,261
USC00311677,20180825,267
USC00311677,20180827,311
USC00311677,20180830,333
USC00311677,20180901,322
USC00311677,20180902,322
USC00311677,20180903,322
USC00311677,20180904,322
USC00311677,20180905,328
USC00311677,20180906,328
USC00311677,20180907,333
USC00311677,20180908,333
USC00311677,20180909,311
USC00311677,20180910,250
USC00311677,20180911,300
USC00311677,20180912,311
USC00311677,20180913,300
USC00311677,20180914,278
USC00311677,20180915,261
USC00311677,20180916,239
USC00311677,20180917,239
USC00311677,20180918,306
